Czech name,Code,2018
Dánsko,DNK,0.915
Austrálie,AUS,0.9053
Jižní Korea,KOR,0.901
Spojené království,GBR,0.8999
Švédsko,SWE,0.8882
Finsko,FIN,0.8815
Singapur,SGP,0.8812
Nový Zéland,NZL,0.8806
Francie,FRA,0.879
Japonsko,JPN,0.8783
Spojené státy americké,USA,0.8769
Německo,DEU,0.8765
Holandsko,NLD,0.8757
Norsko,NOR,0.8557
Švýcarsko,CHE,0.852
Estonsko,EST,0.8486
Španělsko,ESP,0.8415
Lucembursko,LUX,0.8334
Island,ISL,0.8316
Rakousko,AUT,0.8301
Spojené arabské emiráty,ARE,0.8295
Irsko,IRL,0.8287
Kanada,CAN,0.8258
Itálie,ITA,0.8209
Lichtenštejnsko,LIE,0.8204
Bahrain,BHR,0.8116
Belgie,BEL,0.808
Monaco,MCO,0.805
Portugalsko,PRT,0.8031
Ø EU28,,0.801503571
Malta,MLT,0.8011
Izrael,ISR,0.7998
Rusko,RUS,0.7969
Polsko,POL,0.7926
Uruguay,URY,0.7858
Řecko,GRC,0.7833
Kypr,CYP,0.7736
Slovinsko,SVN,0.7714
Bělorusko,BLR,0.7641
Kazachstán,KAZ,0.7597
Litva,LTU,0.7534
Kuvajt,KWT,0.7388
Chile,CHL,0.735
Argentina,ARG,0.7335
Brazílie,BRA,0.7327
Maďarsko,HUN,0.7265
Barbados,BRB,0.7229
Bulharsko,BGR,0.7177
Malajsie,MYS,0.7174
Srbsko,SRB,0.7155
Slovensko,SVK,0.7155
Katar,QAT,0.7132
Saudská arábie,SAU,0.7119
Turecko,TUR,0.7112
Česká republika,CZE,0.7084
Chorvatsko,HRV,0.7018
Kostarika,CRI,0.7004
Lotyšsko,LVA,0.6996
Černá Hora,MNE,0.6966
Brunej,BRN,0.6923
Gruzie,GEO,0.6893
Kolumbie,COL,0.6871
Andorra,AND,0.6857
Omán,OMN,0.6846
Mexiko,MEX,0.6818
Čína,CHN,0.6811
Mauricius,MUS,0.6678
Rumunsko,ROU,0.6671
Jižní Afrika,ZAF,0.6618
Moldavsko,MDA,0.659
