Czech name,Code,EU eGov index,Year,EU28
Dánsko,DNK,0.915,2018,1
Spojené království,GBR,0.8999,2018,1
Švédsko,SWE,0.8882,2018,1
Finsko,FIN,0.8815,2018,1
Francie,FRA,0.879,2018,1
Německo,DEU,0.8765,2018,1
Holandsko,NLD,0.8757,2018,1
Estonsko,EST,0.8486,2018,1
Španělsko,ESP,0.8415,2018,1
Lucembursko,LUX,0.8334,2018,1
Rakousko,AUT,0.8301,2018,1
Irsko,IRL,0.8287,2018,1
Itálie,ITA,0.8209,2018,1
Belgie,BEL,0.808,2018,1
Portugalsko,PRT,0.8031,2018,1
Malta,MLT,0.8011,2018,1
Polsko,POL,0.7926,2018,1
Řecko,GRC,0.7833,2018,1
Kypr,CYP,0.7736,2018,1
Slovinsko,SVN,0.7714,2018,1
Litva,LTU,0.7534,2018,1
Maďarsko,HUN,0.7265,2018,1
Bulharsko,BGR,0.7177,2018,1
Slovensko,SVK,0.7155,2018,1
Česká republika,CZE,0.7084,2018,1
Chorvatsko,HRV,0.7018,2018,1
Lotyšsko,LVA,0.6996,2018,1
Rumunsko,ROU,0.6671,2018,1
Německo,DEU,0.5,2017,1
Dánsko,DNK,0.8,2017,1
Německo,DEU,0.2,2016,1
