EU-code,Czech name,Code,EU eGov index,Year,EU28
AL,Albánie,ALB,44,2018,0
AT,Rakousko,AUT,83.9,2018,1
BE,Belgie,BEL,70.4,2018,1
BG,Bulharsko,BGR,47.8,2018,1
CH,Švýcarsko,CHE,49.9,2018,0
CY,Kypr,CYP,57.4,2018,1
CZ,Česká republika,CZE,62.6,2018,1
DE,Německo,DEU,64.9,2018,1
DK,Dánsko,DNK,79.9,2018,1
EE,Estonsko,EST,87.9,2018,1
EL,Řecko,GRC,50.9,2018,1
ES,Španělsko,ESP,74.1,2018,1
FI,Finsko,FIN,80.3,2018,1
FR,Francie,FRA,68.1,2018,1
HR,Chorvatsko,HRV,46.1,2018,1
HU,Maďarsko,HUN,55.5,2018,1
IE,Irsko,IRL,62.1,2018,1
IS,Island,ISL,75.4,2018,0
IT,Itálie,ITA,66.5,2018,1
LT,Litva,LTU,81.5,2018,1
LU,Lucembursko,LUX,68,2018,1
LV,Lotyšsko,LVA,83.6,2018,1
ME,Černá Hora,MNE,39.9,2018,0
MK,Makedonie,MKD,37.3,2018,0
MT,Malta,MLT,96.1,2018,1
NL,Holandsko,NLD,78.9,2018,1
NO,Norsko,NOR,79.3,2018,0
PL,Polsko,POL,56.5,2018,1
PT,Portugalsko,PRT,79.6,2018,1
RO,Rumunsko,ROU,40.3,2018,1
RS,Srbsko,SRB,41,2018,0
SE,Švédsko,SWE,75.5,2018,1
SI,Slovinsko,SVN,63.6,2018,1
SK,Slovensko,SVK,54.5,2018,1
TR,Turecko,TUR,63,2018,0
UK,Spojené království,GBR,61,2018,1
AL,Albánie,ALB,,2016,0
AT,Rakousko,AUT,80.8375,2016,1
BE,Belgie,BEL,67.5625,2016,1
BG,Bulharsko,BGR,43.3875,2016,1
CH,Švýcarsko,CHE,49.21875,2016,0
CY,Kypr,CYP,55.60625,2016,1
CZ,Česká republika,CZE,51.69375,2016,1
DE,Německo,DEU,65.1875,2016,1
DK,Dánsko,DNK,81.4375,2016,1
EE,Estonsko,EST,86.26875,2016,1
EL,Řecko,GRC,37.85625,2016,1
ES,Španělsko,ESP,65.7625,2016,1
FI,Finsko,FIN,74.46875,2016,1
FR,Francie,FRA,66.56875,2016,1
HR,Chorvatsko,HRV,40.64375,2016,1
HU,Maďarsko,HUN,33.98125,2016,1
IE,Irsko,IRL,60.33333333,2016,1
IS,Island,ISL,68.95,2016,0
IT,Itálie,ITA,57.95625,2016,1
LT,Litva,LTU,74.7125,2016,1
LU,Lucembursko,LUX,60.19375,2016,1
LV,Lotyšsko,LVA,81.8875,2016,1
ME,Černá Hora,MNE,42.175,2016,0
MK,Makedonie,MKD,,2016,0
MT,Malta,MLT,96.0125,2016,1
NL,Holandsko,NLD,72.95625,2016,1
NO,Norsko,NOR,77.80625,2016,0
PL,Polsko,POL,52.6125,2016,1
PT,Portugalsko,PRT,75.84375,2016,1
RO,Rumunsko,ROU,33.575,2016,1
RS,Srbsko,SRB,36.5,2016,0
SE,Švédsko,SWE,76.35625,2016,1
SI,Slovinsko,SVN,55.6375,2016,1
SK,Slovensko,SVK,39.9875,2016,1
TR,Turecko,TUR,54.525,2016,0
UK,Spojené království,GBR,58.76666667,2016,1
AL,Albánie,ALB,,2015,0
AT,Rakousko,AUT,80.95138889,2015,1
BE,Belgie,BEL,72.20138889,2015,1
BG,Bulharsko,BGR,37.78472222,2015,1
CH,Švýcarsko,CHE,48.31597222,2015,0
CY,Kypr,CYP,57.83680556,2015,1
CZ,Česká republika,CZE,43.71875,2015,1
DE,Německo,DEU,67.75694444,2015,1
DK,Dánsko,DNK,81.13194444,2015,1
EE,Estonsko,EST,89.06597222,2015,1
EL,Řecko,GRC,32.67013889,2015,1
ES,Španělsko,ESP,71.8125,2015,1
FI,Finsko,FIN,79.84375,2015,1
FR,Francie,FRA,70.52430556,2015,1
HR,Chorvatsko,HRV,40.57986111,2015,1
HU,Maďarsko,HUN,32.01736111,2015,1
IE,Irsko,IRL,58.68055556,2015,1
IS,Island,ISL,72.73611111,2015,0
IT,Itálie,ITA,54.54513889,2015,1
LT,Litva,LTU,72.52083333,2015,1
LU,Lucembursko,LUX,61.13541667,2015,1
LV,Lotyšsko,LVA,76.74305556,2015,1
ME,Černá Hora,MNE,36.75,2015,0
MK,Makedonie,MKD,,2015,0
MT,Malta,MLT,95.27083333,2015,1
NL,Holandsko,NLD,69.53125,2015,1
NO,Norsko,NOR,77.17013889,2015,0
PL,Polsko,POL,59.35416667,2015,1
PT,Portugalsko,PRT,79.31597222,2015,1
RO,Rumunsko,ROU,27.15277778,2015,1
RS,Srbsko,SRB,36.22222222,2015,0
SE,Švédsko,SWE,76.12847222,2015,1
SI,Slovinsko,SVN,60.92361111,2015,1
SK,Slovensko,SVK,29.49305556,2015,1
TR,Turecko,TUR,56.25,2015,0
UK,Spojené království,GBR,54.625,2015,1
AL,Albánie,ALB,,2014,0
AT,Rakousko,AUT,72.84722222,2014,1
BE,Belgie,BEL,62.93055556,2014,1
BG,Bulharsko,BGR,32.43055556,2014,1
CH,Švýcarsko,CHE,41.69444444,2014,0
CY,Kypr,CYP,51.59722222,2014,1
CZ,Česká republika,CZE,34.34722222,2014,1
DE,Německo,DEU,56.15277778,2014,1
DK,Dánsko,DNK,73.23611111,2014,1
EE,Estonsko,EST,85.55555556,2014,1
EL,Řecko,GRC,26.47222222,2014,1
ES,Španělsko,ESP,68.16666667,2014,1
FI,Finsko,FIN,74.5,2014,1
FR,Francie,FRA,65.88888889,2014,1
HR,Chorvatsko,HRV,32.63888889,2014,1
HU,Maďarsko,HUN,25.06944444,2014,1
IE,Irsko,IRL,55.97222222,2014,1
IS,Island,ISL,67.52777778,2014,0
IT,Itálie,ITA,48.30555556,2014,1
LT,Litva,LTU,62.41666667,2014,1
LU,Lucembursko,LUX,53.54166667,2014,1
LV,Lotyšsko,LVA,69.76388889,2014,1
ME,Černá Hora,MNE,,2014,0
MK,Makedonie,MKD,,2014,0
MT,Malta,MLT,95.16666667,2014,1
NL,Holandsko,NLD,61.54166667,2014,1
NO,Norsko,NOR,69.05555556,2014,0
PL,Polsko,POL,54.08333333,2014,1
PT,Portugalsko,PRT,75.05555556,2014,1
RO,Rumunsko,ROU,24.73611111,2014,1
RS,Srbsko,SRB,32.09722222,2014,0
SE,Švédsko,SWE,69.43055556,2014,1
SI,Slovinsko,SVN,54.77777778,2014,1
SK,Slovensko,SVK,22.76388889,2014,1
TR,Turecko,TUR,50.70833333,2014,0
UK,Spojené království,GBR,46.76388889,2014,1
AL,Albánie,ALB,,2013,0
AT,Rakousko,AUT,69.45833333,2013,1
BE,Belgie,BEL,55.44444444,2013,1
BG,Bulharsko,BGR,36.13888889,2013,1
CH,Švýcarsko,CHE,37.47222222,2013,0
CY,Kypr,CYP,48.41666667,2013,1
CZ,Česká republika,CZE,33.94444444,2013,1
DE,Německo,DEU,47.81944444,2013,1
DK,Dánsko,DNK,64.08333333,2013,1
EE,Estonsko,EST,79.83333333,2013,1
EL,Řecko,GRC,23.61111111,2013,1
ES,Španělsko,ESP,63.29166667,2013,1
FI,Finsko,FIN,71.34722222,2013,1
FR,Francie,FRA,61.625,2013,1
HR,Chorvatsko,HRV,32.40277778,2013,1
HU,Maďarsko,HUN,27.51388889,2013,1
IE,Irsko,IRL,52.59722222,2013,1
IS,Island,ISL,62.34722222,2013,0
IT,Itálie,ITA,48.75,2013,1
LT,Litva,LTU,60.84722222,2013,1
LU,Lucembursko,LUX,42.25,2013,1
LV,Lotyšsko,LVA,65.47222222,2013,1
ME,Černá Hora,MNE,,2013,0
MK,Makedonie,MKD,,2013,0
MT,Malta,MLT,93.95833333,2013,1
NL,Holandsko,NLD,57.11111111,2013,1
NO,Norsko,NOR,64.30555556,2013,0
PL,Polsko,POL,48.59722222,2013,1
PT,Portugalsko,PRT,72.5,2013,1
RO,Rumunsko,ROU,22.97222222,2013,1
RS,Srbsko,SRB,32.75,2013,0
SE,Švédsko,SWE,67.18055556,2013,1
SI,Slovinsko,SVN,54.69444444,2013,1
SK,Slovensko,SVK,23.45833333,2013,1
TR,Turecko,TUR,51.93055556,2013,0
UK,Spojené království,GBR,44.16666667,2013,1
