EU-code,Czech name,English name,Code,EU eGov index,Year,EU28
AL,Albánie,Albania,ALB,44,2018,0
AT,Rakousko,Austria,AUT,83.875,2018,1
BE,Belgie,Belgium,BEL,70.375,2018,1
BG,Bulharsko,Bulgaria,BGR,47.75,2018,1
CH,Švýcarsko,Switzerland,CHE,49.875,2018,0
CY,Kypr,Cyprus,CYP,57.375,2018,1
CZ,Česká republika,Czech Republic,CZE,62.625,2018,1
DE,Německo,Germany,DEU,64.875,2018,1
DK,Dánsko,Denmark,DNK,79.875,2018,1
EE,Estonsko,Estonia,EST,87.875,2018,1
EL,Řecko,Greece,GRC,50.875,2018,1
ES,Španělsko,Spain,ESP,74.125,2018,1
FI,Finsko,Finland,FIN,80.25,2018,1
FR,Francie,France,FRA,68.125,2018,1
HR,Chorvatsko,Croatia,HRV,46.125,2018,1
HU,Maďarsko,Hungary,HUN,55.5,2018,1
IE,Irsko,Ireland,IRL,62.125,2018,1
IS,Island,Iceland,ISL,75.375,2018,0
IT,Itálie,Italy,ITA,66.5,2018,1
LT,Litva,Lithuania,LTU,81.5,2018,1
LU,Lucembursko,Luxembourg,LUX,68,2018,1
LV,Lotyšsko,Latvia,LVA,83.625,2018,1
ME,Černá Hora,Montenegro,MNE,39.875,2018,0
MK,Makedonie,Macedonia,MKD,37.25,2018,0
MT,Malta,Malta,MLT,96.125,2018,1
NL,Holandsko,Holland,NLD,78.875,2018,1
NO,Norsko,Norway,NOR,79.25,2018,0
PL,Polsko,Poland,POL,56.5,2018,1
PT,Portugalsko,Portugal,PRT,79.625,2018,1
RO,Rumunsko,Romania,ROU,40.25,2018,1
RS,Srbsko,Serbia,SRB,41,2018,0
SE,Švédsko,Sweden,SWE,75.5,2018,1
SI,Slovinsko,Slovenia,SVN,63.625,2018,1
SK,Slovensko,Slovakia,SVK,54.5,2018,1
TR,Turecko,Turkey,TUR,63,2018,0
UK,Spojené království,United Kingdom,GBR,61,2018,1
AL,Albánie,Albania,ALB,,2017,0
AT,Rakousko,Austria,AUT,73.525,2017,1
BE,Belgie,Belgium,BEL,68.4375,2017,1
BG,Bulharsko,Bulgaria,BGR,44.80740732,2017,1
CH,Švýcarsko,Switzerland,CHE,49.89874869,2017,0
CY,Kypr,Cyprus,CYP,55.43389344,2017,1
CZ,Česká republika,Czech Republic,CZE,59.45894589,2017,1
DE,Německo,Germany,DEU,63.28269382,2017,1
DK,Dánsko,Denmark,DNK,79.89496919,2017,1
EE,Estonsko,Estonia,EST,83.94215129,2017,1
EL,Řecko,Greece,GRC,44.20783423,2017,1
ES,Španělsko,Spain,ESP,70.77087193,2017,1
FI,Finsko,Finland,FIN,75.5401248,2017,1
FR,Francie,France,FRA,63.57458733,2017,1
HR,Chorvatsko,Croatia,HRV,42.97529224,2017,1
HU,Maďarsko,Hungary,HUN,42.66181533,2017,1
IE,Irsko,Ireland,IRL,56.61281191,2017,1
IS,Island,Iceland,ISL,67.35466683,2017,0
IT,Itálie,Italy,ITA,59.96716132,2017,1
LT,Litva,Lithuania,LTU,75.4031498,2017,1
LU,Lucembursko,Luxembourg,LUX,57.07175515,2017,1
LV,Lotyšsko,Latvia,LVA,80.8291421,2017,1
ME,Černá Hora,Montenegro,MNE,43.30058904,2017,0
MK,Makedonie,Macedonia,MKD,,2017,0
MT,Malta,Malta,MLT,95.36928261,2017,1
NL,Holandsko,Holland,NLD,78.09161862,2017,1
NO,Norsko,Norway,NOR,77.41977927,2017,0
PL,Polsko,Poland,POL,52.4221186,2017,1
PT,Portugalsko,Portugal,PRT,74.45327484,2017,1
RO,Rumunsko,Romania,ROU,38.70668723,2017,1
RS,Srbsko,Serbia,SRB,37.44606883,2017,0
SE,Švédsko,Sweden,SWE,75.55400732,2017,1
SI,Slovinsko,Slovenia,SVN,55.14849193,2017,1
SK,Slovensko,Slovakia,SVK,51.28058412,2017,1
TR,Turecko,Turkey,TUR,55.72351544,2017,0
UK,Spojené království,United Kingdom,GBR,58.62481386,2017,1
AL,Albánie,Albania,ALB,,2016,0
AT,Rakousko,Austria,AUT,80.8375,2016,1
BE,Belgie,Belgium,BEL,67.5625,2016,1
BG,Bulharsko,Bulgaria,BGR,43.3875,2016,1
CH,Švýcarsko,Switzerland,CHE,49.21875,2016,0
CY,Kypr,Cyprus,CYP,55.60625,2016,1
CZ,Česká republika,Czech Republic,CZE,51.69375,2016,1
DE,Německo,Germany,DEU,65.1875,2016,1
DK,Dánsko,Denmark,DNK,81.4375,2016,1
EE,Estonsko,Estonia,EST,86.26875,2016,1
EL,Řecko,Greece,GRC,37.85625,2016,1
ES,Španělsko,Spain,ESP,65.7625,2016,1
FI,Finsko,Finland,FIN,74.46875,2016,1
FR,Francie,France,FRA,66.56875,2016,1
HR,Chorvatsko,Croatia,HRV,40.64375,2016,1
HU,Maďarsko,Hungary,HUN,33.98125,2016,1
IE,Irsko,Ireland,IRL,60.33333333,2016,1
IS,Island,Iceland,ISL,68.95,2016,0
IT,Itálie,Italy,ITA,57.95625,2016,1
LT,Litva,Lithuania,LTU,74.7125,2016,1
LU,Lucembursko,Luxembourg,LUX,60.19375,2016,1
LV,Lotyšsko,Latvia,LVA,81.8875,2016,1
ME,Černá Hora,Montenegro,MNE,42.175,2016,0
MK,Makedonie,Macedonia,MKD,,2016,0
MT,Malta,Malta,MLT,96.0125,2016,1
NL,Holandsko,Holland,NLD,72.95625,2016,1
NO,Norsko,Norway,NOR,77.80625,2016,0
PL,Polsko,Poland,POL,52.6125,2016,1
PT,Portugalsko,Portugal,PRT,75.84375,2016,1
RO,Rumunsko,Romania,ROU,33.575,2016,1
RS,Srbsko,Serbia,SRB,36.5,2016,0
SE,Švédsko,Sweden,SWE,76.35625,2016,1
SI,Slovinsko,Slovenia,SVN,55.6375,2016,1
SK,Slovensko,Slovakia,SVK,39.9875,2016,1
TR,Turecko,Turkey,TUR,54.525,2016,0
UK,Spojené království,United Kingdom,GBR,58.76666667,2016,1
AL,Albánie,Albania,ALB,,2015,0
AT,Rakousko,Austria,AUT,80.95138889,2015,1
BE,Belgie,Belgium,BEL,72.20138889,2015,1
BG,Bulharsko,Bulgaria,BGR,37.78472222,2015,1
CH,Švýcarsko,Switzerland,CHE,48.31597222,2015,0
CY,Kypr,Cyprus,CYP,57.83680556,2015,1
CZ,Česká republika,Czech Republic,CZE,43.71875,2015,1
DE,Německo,Germany,DEU,67.75694444,2015,1
DK,Dánsko,Denmark,DNK,81.13194444,2015,1
EE,Estonsko,Estonia,EST,89.06597222,2015,1
EL,Řecko,Greece,GRC,32.67013889,2015,1
ES,Španělsko,Spain,ESP,71.8125,2015,1
FI,Finsko,Finland,FIN,79.84375,2015,1
FR,Francie,France,FRA,70.52430556,2015,1
HR,Chorvatsko,Croatia,HRV,40.57986111,2015,1
HU,Maďarsko,Hungary,HUN,32.01736111,2015,1
IE,Irsko,Ireland,IRL,58.68055556,2015,1
IS,Island,Iceland,ISL,72.73611111,2015,0
IT,Itálie,Italy,ITA,54.54513889,2015,1
LT,Litva,Lithuania,LTU,72.52083333,2015,1
LU,Lucembursko,Luxembourg,LUX,61.13541667,2015,1
LV,Lotyšsko,Latvia,LVA,76.74305556,2015,1
ME,Černá Hora,Montenegro,MNE,36.75,2015,0
MK,Makedonie,Macedonia,MKD,,2015,0
MT,Malta,Malta,MLT,95.27083333,2015,1
NL,Holandsko,Holland,NLD,69.53125,2015,1
NO,Norsko,Norway,NOR,77.17013889,2015,0
PL,Polsko,Poland,POL,59.35416667,2015,1
PT,Portugalsko,Portugal,PRT,79.31597222,2015,1
RO,Rumunsko,Romania,ROU,27.15277778,2015,1
RS,Srbsko,Serbia,SRB,36.22222222,2015,0
SE,Švédsko,Sweden,SWE,76.12847222,2015,1
SI,Slovinsko,Slovenia,SVN,60.92361111,2015,1
SK,Slovensko,Slovakia,SVK,29.49305556,2015,1
TR,Turecko,Turkey,TUR,56.25,2015,0
UK,Spojené království,United Kingdom,GBR,54.625,2015,1
AL,Albánie,Albania,ALB,,2014,0
AT,Rakousko,Austria,AUT,72.84722222,2014,1
BE,Belgie,Belgium,BEL,62.93055556,2014,1
BG,Bulharsko,Bulgaria,BGR,32.43055556,2014,1
CH,Švýcarsko,Switzerland,CHE,41.69444444,2014,0
CY,Kypr,Cyprus,CYP,51.59722222,2014,1
CZ,Česká republika,Czech Republic,CZE,34.34722222,2014,1
DE,Německo,Germany,DEU,56.15277778,2014,1
DK,Dánsko,Denmark,DNK,73.23611111,2014,1
EE,Estonsko,Estonia,EST,85.55555556,2014,1
EL,Řecko,Greece,GRC,26.47222222,2014,1
ES,Španělsko,Spain,ESP,68.16666667,2014,1
FI,Finsko,Finland,FIN,74.5,2014,1
FR,Francie,France,FRA,65.88888889,2014,1
HR,Chorvatsko,Croatia,HRV,32.63888889,2014,1
HU,Maďarsko,Hungary,HUN,25.06944444,2014,1
IE,Irsko,Ireland,IRL,55.97222222,2014,1
IS,Island,Iceland,ISL,67.52777778,2014,0
IT,Itálie,Italy,ITA,48.30555556,2014,1
LT,Litva,Lithuania,LTU,62.41666667,2014,1
LU,Lucembursko,Luxembourg,LUX,53.54166667,2014,1
LV,Lotyšsko,Latvia,LVA,69.76388889,2014,1
ME,Černá Hora,Montenegro,MNE,,2014,0
MK,Makedonie,Macedonia,MKD,,2014,0
MT,Malta,Malta,MLT,95.16666667,2014,1
NL,Holandsko,Holland,NLD,61.54166667,2014,1
NO,Norsko,Norway,NOR,69.05555556,2014,0
PL,Polsko,Poland,POL,54.08333333,2014,1
PT,Portugalsko,Portugal,PRT,75.05555556,2014,1
RO,Rumunsko,Romania,ROU,24.73611111,2014,1
RS,Srbsko,Serbia,SRB,32.09722222,2014,0
SE,Švédsko,Sweden,SWE,69.43055556,2014,1
SI,Slovinsko,Slovenia,SVN,54.77777778,2014,1
SK,Slovensko,Slovakia,SVK,22.76388889,2014,1
TR,Turecko,Turkey,TUR,50.70833333,2014,0
UK,Spojené království,United Kingdom,GBR,46.76388889,2014,1
AL,Albánie,Albania,ALB,,2013,0
AT,Rakousko,Austria,AUT,69.45833333,2013,1
BE,Belgie,Belgium,BEL,55.44444444,2013,1
BG,Bulharsko,Bulgaria,BGR,36.13888889,2013,1
CH,Švýcarsko,Switzerland,CHE,37.47222222,2013,0
CY,Kypr,Cyprus,CYP,48.41666667,2013,1
CZ,Česká republika,Czech Republic,CZE,33.94444444,2013,1
DE,Německo,Germany,DEU,47.81944444,2013,1
DK,Dánsko,Denmark,DNK,64.08333333,2013,1
EE,Estonsko,Estonia,EST,79.83333333,2013,1
EL,Řecko,Greece,GRC,23.61111111,2013,1
ES,Španělsko,Spain,ESP,63.29166667,2013,1
FI,Finsko,Finland,FIN,71.34722222,2013,1
FR,Francie,France,FRA,61.625,2013,1
HR,Chorvatsko,Croatia,HRV,32.40277778,2013,1
HU,Maďarsko,Hungary,HUN,27.51388889,2013,1
IE,Irsko,Ireland,IRL,52.59722222,2013,1
IS,Island,Iceland,ISL,62.34722222,2013,0
IT,Itálie,Italy,ITA,48.75,2013,1
LT,Litva,Lithuania,LTU,60.84722222,2013,1
LU,Lucembursko,Luxembourg,LUX,42.25,2013,1
LV,Lotyšsko,Latvia,LVA,65.47222222,2013,1
ME,Černá Hora,Montenegro,MNE,,2013,0
MK,Makedonie,Macedonia,MKD,,2013,0
MT,Malta,Malta,MLT,93.95833333,2013,1
NL,Holandsko,Holland,NLD,57.11111111,2013,1
NO,Norsko,Norway,NOR,64.30555556,2013,0
PL,Polsko,Poland,POL,48.59722222,2013,1
PT,Portugalsko,Portugal,PRT,72.5,2013,1
RO,Rumunsko,Romania,ROU,22.97222222,2013,1
RS,Srbsko,Serbia,SRB,32.75,2013,0
SE,Švédsko,Sweden,SWE,67.18055556,2013,1
SI,Slovinsko,Slovenia,SVN,54.69444444,2013,1
SK,Slovensko,Slovakia,SVK,23.45833333,2013,1
TR,Turecko,Turkey,TUR,51.93055556,2013,0
UK,Spojené království,United Kingdom,GBR,44.16666667,2013,1
AL,Albánie,Albania,ALB,41.3,2019,0
AT,Rakousko,Austria,AUT,87.25,2019,1
BE,Belgie,Belgium,BEL,72.75,2019,1
BG,Bulharsko,Bulgaria,BGR,54.125,2019,1
CH,Švýcarsko,Switzerland,CHE,53.625,2019,0
CY,Kypr,Cyprus,CYP,61.375,2019,1
CZ,Česká republika,Czech Republic,CZE,63.625,2019,1
DE,Německo,Germany,DEU,67.625,2019,1
DK,Dánsko,Denmark,DNK,84.375,2019,1
EE,Estonsko,Estonia,EST,91.5,2019,1
EL,Řecko,Greece,GRC,52.5,2019,1
ES,Španělsko,Spain,ESP,77.875,2019,1
FI,Finsko,Finland,FIN,82.5,2019,1
FR,Francie,France,FRA,73,2019,1
HR,Chorvatsko,Croatia,HRV,52.5,2019,1
HU,Maďarsko,Hungary,HUN,62.5,2019,1
IE,Irsko,Ireland,IRL,64.5,2019,1
IS,Island,Iceland,ISL,79.25,2019,0
IT,Itálie,Italy,ITA,70.875,2019,1
LT,Litva,Lithuania,LTU,83,2019,1
LU,Lucembursko,Luxembourg,LUX,79,2019,1
LV,Lotyšsko,Latvia,LVA,86.875,2019,1
ME,Černá Hora,Montenegro,MNE,41.375,2019,0
MK,Makedonie,Macedonia,MKD,33.375,2019,0
MT,Malta,Malta,MLT,96.75,2019,1
NL,Holandsko,Holland,NLD,78.25,2019,1
NO,Norsko,Norway,NOR,81.5,2019,0
PL,Polsko,Poland,POL,59,2019,1
PT,Portugalsko,Portugal,PRT,81.625,2019,1
RO,Rumunsko,Romania,ROU,43.25,2019,1
RS,Srbsko,Serbia,SRB,43.875,2019,0
SE,Švédsko,Sweden,SWE,77.25,2019,1
SI,Slovinsko,Slovenia,SVN,72,2019,1
SK,Slovensko,Slovakia,SVK,61.25,2019,1
TR,Turecko,Turkey,TUR,68.25,2019,0
UK,Spojené království,United Kingdom,GBR,65.25,2019,1
